model,task,context_length,depth_pct,question,expected_answer,model_response,tokens_used,latency_s,prompt_tokens,completion_tokens,cached_tokens
deepseek,niah,2000,0,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，启动日期为2024年11月8日。,1144,0.82,,,
deepseek,niah,2000,10,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,1528,0.88,,,
deepseek,niah,2000,50,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,1252,0.93,,,
deepseek,niah,2000,90,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,1513,0.61,,,
deepseek,niah,4000,50,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,2386,0.87,,,
deepseek,niah,4000,75,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币。,395,0.89,,,
deepseek,niah,8000,0,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,暗星计划，2024年11月8日。,5000,1.22,,,
deepseek,niah,8000,10,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,408,0.65,,,
deepseek,niah,8000,75,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,6436,0.86,,,
deepseek,niah,8000,90,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3282,0.73,,,
deepseek,niah,8000,100,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,,0,0.0,,,
deepseek,niah,16000,0,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,11852,0.93,,,
deepseek,niah,16000,10,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,12941,0.88,,,
deepseek,niah,16000,90,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币。,4976,1.21,,,
deepseek,niah,16000,90,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,397,0.86,,,
deepseek,niah,32000,10,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,396,0.53,,,
deepseek,niah,32000,10,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,8383,0.92,,,
deepseek,niah,32000,100,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,17855,1.27,,,
kimi,niah,2000,0,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,1395,1.21,,,
kimi,niah,2000,10,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,1743,1.07,,,
kimi,niah,2000,50,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,1612,0.95,,,
kimi,niah,2000,90,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,1985,1.12,,,
kimi,niah,4000,50,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币。,2910,1.11,,,
kimi,niah,4000,75,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,403,0.64,,,
kimi,niah,8000,0,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,6617,1.87,,,
kimi,niah,8000,10,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,412,0.67,,,
kimi,niah,8000,75,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,8278,2.04,,,
kimi,niah,8000,90,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3923,1.15,,,
kimi,niah,8000,100,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,,0,0.0,,,
kimi,niah,16000,0,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,13864,2.97,,,
kimi,niah,16000,10,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,16585,3.49,,,
kimi,niah,16000,90,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,6589,1.5,,,
kimi,niah,16000,90,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,407,0.55,,,
kimi,niah,32000,10,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,406,0.55,,,
kimi,niah,32000,10,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,10111,2.31,,,
kimi,niah,32000,100,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,,0,0.0,,,
qwen,niah,2000,0,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,暗星计划，2024年11月8日,1232,0.87,,,
qwen,niah,2000,10,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票,1661,0.76,,,
qwen,niah,2000,50,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每 3 股 A 公司股票换 1 股 B 公司股票。,1412,1.03,,,
qwen,niah,2000,90,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,1633,0.75,,,
qwen,niah,4000,50,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,2631,0.79,,,
qwen,niah,4000,75,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,410,0.68,,,
qwen,niah,8000,0,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,5695,1.16,,,
qwen,niah,8000,10,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,425,0.63,,,
qwen,niah,8000,75,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,7056,1.21,,,
qwen,niah,8000,90,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3638,0.87,,,
qwen,niah,8000,100,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,,0,0.0,,,
qwen,niah,16000,0,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,12903,1.35,,,
qwen,niah,16000,10,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,14101,1.69,,,
qwen,niah,16000,90,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,5657,0.79,,,
qwen,niah,16000,90,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,422,0.78,,,
qwen,niah,32000,10,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,421,0.84,,,
qwen,niah,32000,10,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,9224,1.85,,,
qwen,niah,32000,100,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,19434,2.42,,,
deepseek,niah,2000,50,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,1300,1.09,1279.0,21.0,384.0
deepseek,niah,2000,75,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,1038,0.39,1034.0,4.0,1024.0
deepseek,niah,2000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币。,1444,0.46,1439.0,5.0,1408.0
deepseek,niah,4000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,3063,0.43,3059.0,4.0,2944.0
deepseek,niah,4000,25,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,2589,0.91,2582.0,7.0,384.0
deepseek,niah,4000,50,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,3319,0.68,3298.0,21.0,128.0
deepseek,niah,4000,90,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，启动日期为2024年11月8日。,3094,0.69,3074.0,20.0,3072.0
deepseek,niah,4000,100,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,3032,0.53,3028.0,4.0,2944.0
deepseek,niah,8000,90,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,3302,0.73,3289.0,13.0,2304.0
deepseek,niah,8000,90,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,6194,1.02,6181.0,13.0,2944.0
deepseek,niah,16000,0,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,394,0.5,390.0,4.0,0.0
deepseek,niah,16000,25,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,4977,0.64,4970.0,7.0,1024.0
kimi,niah,2000,50,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,1651,1.66,1630.0,21.0,0.0
kimi,niah,2000,75,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,1222,0.87,1217.0,5.0,0.0
kimi,niah,2000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币。,1857,1.32,1849.0,8.0,0.0
kimi,niah,4000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,3853,1.64,3846.0,7.0,0.0
kimi,niah,4000,25,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3465,1.07,3456.0,9.0,0.0
kimi,niah,4000,50,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,4500,1.64,4479.0,21.0,0.0
kimi,niah,4000,90,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,3995,1.7,3974.0,21.0,0.0
kimi,niah,4000,100,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,3522,1.1,3517.0,5.0,0.0
kimi,niah,8000,90,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,3940,1.99,3926.0,14.0,0.0
kimi,niah,8000,90,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,7578,2.24,7564.0,14.0,0.0
kimi,niah,16000,0,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,403,0.78,396.0,7.0,0.0
kimi,niah,16000,25,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,6592,1.77,6583.0,9.0,0.0
qwen,niah,2000,50,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,1507,1.2,1483.0,24.0,0.0
qwen,niah,2000,75,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,1138,0.48,1132.0,6.0,0.0
qwen,niah,2000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,1584,0.67,1578.0,6.0,0.0
qwen,niah,4000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,3408,0.72,3401.0,7.0,0.0
qwen,niah,4000,25,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,2984,0.87,2972.0,12.0,0.0
qwen,niah,4000,50,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,3588,1.39,3564.0,24.0,0.0
qwen,niah,4000,90,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,3365,1.07,3341.0,24.0,0.0
qwen,niah,4000,100,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,3307,0.74,3301.0,6.0,0.0
qwen,niah,8000,90,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,3651,1.02,3638.0,13.0,0.0
qwen,niah,8000,90,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票,6770,1.14,6758.0,12.0,0.0
qwen,niah,16000,0,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,410,0.63,403.0,7.0,0.0
qwen,niah,16000,25,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,5668,1.04,5656.0,12.0,0.0
